county_name,emp_pooled2010,emp_pooled1990,emp_pooled2000,frac_coll_pooled2010,frac_coll_pooled1990,frac_coll_pooled2000,foreign_share1990,foreign_share2000,gini2010,gini1990,gini2000,hhinc_median_pooled2010,hhinc_median_pooled1990,hhinc_median_pooled2000,percap_inc_pooled2010,percap_inc_pooled1990,percap_inc_pooled2000,poor_share_pooled2010,poor_share_pooled1990,poor_share_pooled2000,singlepar_pooled2010,singlepar_pooled1990,singlepar_pooled2000,pop_pooled2010,pop_pooled1990
Alameda,0.68123192,0.7255345,0.69178575,0.40290764,0.28806615,0.3491123,0.48842698,0.72802877,0.456,0.4216019297,0.4514467504646634,96954.28335571288,92280.5809326172,102337.29185009,47455.67302322388,43129.324,48803.47024917603,0.11403775,0.1062061,0.11042551,0.27451211,0.29057014,0.27885011,1510271,1279182
Amador,0.53381443,0.51572585,0.56376988,0.18988252,0.13987979,0.16646445,0.62398881,0.96638179,0.399,0.4052552756,0.4288465547654743,76516.52611541748,74389.29740905762,77339.23246383667,36791.03722000122,35104.18,40996.37838172913,0.079927124,0.084136412,0.092180423,0.31391904,0.1874557,0.28631327,38091,30039
Butte,0.59956741,0.61021417,0.62343985,0.24141337,0.19475581,0.21835943,0.60180104,0.92288268,0.449,0.4444222489,0.4688339205597775,60323.94229888916,55981.84826660156,58395.8764705658,32703.76524353027,29699.188,32042.36837911606,0.18402724,0.18871745,0.19790109,0.37199429,0.2871218,0.33857605,220000,182120
Calaveras,0.62184209,0.60292357,0.60870254,0.19609696,0.14428127,0.17109004,0.62003875,0.96994132,0.412,0.4077467846,0.4397413358050914,76814.163356781,67949.51683044434,75038.07933139801,39696.14437866211,33174.703,39181.79657936096,0.083047189,0.10092995,0.11787111,0.29343629,0.21288441,0.27758816,45578,31998
Colusa,0.62742108,0.64391297,0.60302508,0.1174657,0.11061498,0.10648827,0.59754223,0.72447354,0.429,0.4707166533,0.4326027380461513,67095.53887939453,61231.98999023438,64135.95479297638,29787.47922134399,30483.268,26944.34470653534,0.14960515,0.13251281,0.16068524,0.25746539,0.21751025,0.21966693,21419,16275
Contra Costa,0.68947828,0.74502057,0.70978564,0.38211176,0.31574985,0.35011771,0.52131927,0.80977553,0.453,0.4134040156,0.445654081417419,109531.902179718,110820.7583770752,116475.2986550331,52845.28260040283,50997.164,56001.43334627151,0.089896575,0.073054343,0.076280758,0.26101518,0.23204659,0.24538906,1049025,803732
Del Norte,0.47876203,0.51690429,0.479729,0.14275393,0.099794582,0.10986511,0.54914749,0.94259644,0.448,0.4229868486,0.4469611340947856,50469.77410125732,56328.41661071777,54221.60663890839,26513.46956634521,26115.521,26657.15786886215,0.21954708,0.15679841,0.20168458,0.40435109,0.27894551,0.38041002,28610,23460
El Dorado,0.68806338,0.71151674,0.70883393,0.31051493,0.20787328,0.2653141,0.59401566,0.92845124,0.421,0.3997902445,0.4359881741208779,97815.05584716795,86170.16317749023,94175.33217048644,48059.33165359497,38596.898,46754.74885940552,0.078819096,0.076815382,0.071486183,0.24984029,0.20353019,0.23835766,181058,125995
Fresno,0.61753422,0.6407519,0.59295416,0.19690077,0.1693075,0.17545551,0.58362073,0.78894728,0.459,0.4567990697,0.4692719383840164,64879.32918548584,64832.85966491699,63519.50916051865,28406.88957595825,29062.582,28343.69458436966,0.22486734,0.21437937,0.22892289,0.35231274,0.29345787,0.315281,930450,667490
Glenn,0.63487959,0.64323181,0.63323277,0.16158186,0.094311081,0.10702528,0.63053471,0.82160813,0.436,0.4320748231,0.4146924984330902,60189.79593658447,56117.03450012207,58730.62291193008,27928.9931602478,26243.334,25735.23324346542,0.17502603,0.17440619,0.1814937,0.29838473,0.24694003,0.2788434,28122,24798
