county_name,kfr_p1,kfr_p25,kfr_p50,kfr_p75,kfr_p100,kir_p1,kir_p25,kir_p50,kir_p75,kir_p100,emp_p1,emp_p25,emp_p50,emp_p75,emp_p100,kfi_p1,kii_p1,kfi_p25,kii_p25,kfi_p50,kii_p50,kfi_p75,kii_p75,kfi_p100,kii_p100
Alameda,0.39713147,0.45414183,0.49437237,0.56097215,0.62020057,0.42397425,0.48067707,0.51957834,0.58021194,0.64863294,0.73502332,0.80183512,0.8355183,0.8639307,0.83808923,26990.434,22839.928,31948.49,27306.277,35490.293,30319.748,41629.199,35054.789,47651.973,40606.148
Amador,0.42167866,0.47773975,0.52156126,0.56441897,0.60755652,0.41871834,0.46369073,0.49896944,0.53905076,0.58947605,0.75754082,0.7913816,0.81175017,0.83027416,0.82254052,29123.459,22421.004,34014.91,25981.512,37944.645,28730.098,41957.102,31834.59,46296.137,35787.031
Butte,0.33597189,0.42008585,0.48297322,0.5512014,0.62076443,0.34016716,0.41375974,0.46872473,0.53078383,0.61626923,0.68702406,0.75908321,0.79823166,0.83365154,0.81617808,21669.656,16051.436,28984.219,22025.777,34479.141,26376.275,40699.688,31191.508,47712.863,37937.078
Calaveras,0.41202927,0.46968821,0.51427716,0.56105328,0.6075784,0.39186978,0.44870427,0.49157393,0.54022032,0.60452396,0.72458655,0.77249295,0.79799962,0.81980604,0.80703211,28283.742,20281.033,33307.535,24806.279,37280.715,28155.248,41636.918,31924.805,46298.473,36986.43
Colusa,0.44139567,0.50042611,0.53784233,0.57731718,0.62564677,0.4262076,0.48707989,0.52738678,0.5713796,0.64363801,0.77071202,0.82893395,0.86093807,0.88478142,0.86650592,30834.238,23017.938,36034.262,27802.826,39438.016,30925.113,43221.762,34362.16,48242.59,40188.762
Contra Costa,0.3827658,0.44665852,0.49222285,0.56376618,0.62482733,0.40403625,0.46600533,0.50966251,0.57504731,0.64973301,0.73106271,0.79898173,0.83332002,0.86356235,0.84148759,25734.605,21250.766,31294.311,26163.021,35299.621,29554.898,41895.004,34649.781,48151.605,40698.07
Del Norte,0.33832633,0.41979113,0.48341304,0.54358643,0.61115372,0.35531953,0.41738504,0.46498185,0.5159896,0.58607644,0.68334949,0.75771981,0.80069005,0.83793283,0.81442654,21875.479,17317.186,28958.455,22314.734,34518.156,26082.762,39977.078,30042.934,46679.969,35516.066
El Dorado,0.38311607,0.45308638,0.50633085,0.56120288,0.61526334,0.38978332,0.44966334,0.49591568,0.54999727,0.6187132,0.7220794,0.78669184,0.82243645,0.85330272,0.83707958,25765.225,20114.732,31856.225,24881.488,36565.629,28494.549,41651.148,32685.365,47118.813,38135.016
Fresno,0.3320424,0.41032299,0.45662808,0.5236488,0.59246546,0.34721914,0.41648671,0.45802003,0.51357746,0.59230143,0.69843251,0.77791399,0.81732392,0.84750348,0.81993484,21326.145,16640.713,28136.775,22243.133,32165.836,25536.818,38135.188,29856.875,44740.746,36012.23
Glenn,0.38177982,0.47117373,0.53119844,0.59089357,0.66326392,0.38239786,0.4599573,0.51204866,0.5625779,0.64587098,0.78439862,0.8268984,0.84976566,0.86115909,0.8502754,25648.412,19522.727,33437.398,25688.738,38824.281,29738.953,44583.125,33671.934,52624.84,40375.352
Humboldt,0.30218849,0.38851792,0.45446351,0.52582532,0.59400052,0.31334162,0.38761997,0.44497445,0.51391262,0.59921241,0.59737712,0.69910276,0.75733501,0.80767024,0.78120595,18738.453,13805.576,26237.447,19942.301,31976.611,24513.754,38333.848,29882.727,44894.676,36563.07
